episode,p1_win_rate_batch,p2_oversampling_ratio,actor_loss,critic_loss,total_loss,policy_entropy
15,0.5625,1.0,0.09265744686126709,1.009572982788086,0.5974439382553101,3.890448570251465
31,0.6875,1.0,-0.0033578581642359495,0.9773801565170288,0.4853322207927704,3.8895492553710938
47,0.5,1.0,-0.13191798329353333,0.9896867871284485,0.3629254102706909,3.8883700370788574
63,0.75,1.0,-0.3502427935600281,0.9703322052955627,0.1349233090877533,3.8870012760162354
79,0.4375,1.0,-0.03633458539843559,0.9986822009086609,0.46300652623176575,3.885875701904297
95,0.625,1.0,-0.12026757001876831,0.9878962635993958,0.37368056178092957,3.8852005004882812
111,0.6875,1.0,-0.11729908734560013,0.9474741816520691,0.356438010931015,3.883754253387451
127,0.5,1.0,0.024629641324281693,0.9933465123176575,0.5213028788566589,3.882622241973877
143,0.75,1.0,-0.14493899047374725,0.9858443140983582,0.347983181476593,3.8805201053619385
159,0.5,1.0,-0.17169173061847687,0.9823881983757019,0.3195023536682129,3.8790791034698486
175,0.625,1.0,0.019658243283629417,1.002687692642212,0.5210021138191223,3.878535032272339
191,0.5625,1.0,0.013488031923770905,0.9688124656677246,0.4978942573070526,3.8770227432250977
207,0.4375,1.0,0.14527150988578796,0.95414137840271,0.6223422288894653,3.8753321170806885
223,0.5,1.0,0.007246777880936861,1.0010511875152588,0.5077723860740662,3.8743510246276855
239,0.5625,1.0,0.07197539508342743,1.0055515766143799,0.5747511982917786,3.8744964599609375
255,0.6875,1.0,0.11637038737535477,0.9524818658828735,0.5926113128662109,3.874208688735962
271,0.6875,1.0,-0.04799516126513481,0.9873427748680115,0.4456762373447418,3.8718106746673584
287,0.5,1.0,0.1513330042362213,0.9926691651344299,0.6476675868034363,3.8721139430999756
303,0.75,1.0,0.062471240758895874,0.9695613980293274,0.5472519397735596,3.872917890548706
319,0.6875,1.0,-0.022403744980692863,0.9995399117469788,0.47736620903015137,3.8720717430114746
335,0.5625,1.0,-0.03447956219315529,0.9652360081672668,0.44813844561576843,3.8721563816070557
351,0.4375,1.0,0.047113366425037384,0.9547012448310852,0.5244640111923218,3.8700597286224365
367,0.4375,1.0,0.01548479963093996,0.9485076665878296,0.4897386431694031,3.8715507984161377
383,0.625,1.0,-0.3025071620941162,0.9976082444190979,0.19629696011543274,3.8706889152526855
399,0.5,1.0,-0.11314486712217331,0.9729055762290955,0.3733079135417938,3.8702993392944336
415,0.8125,1.0,-0.19806766510009766,0.9613936543464661,0.2826291620731354,3.8666415214538574
431,0.4375,1.0,-0.03910030052065849,0.9905226230621338,0.4561610221862793,3.866511821746826
447,0.375,1.0,-0.2690606415271759,0.9652171730995178,0.213547945022583,3.865434169769287
463,0.5625,1.0,-0.13779249787330627,0.9930604696273804,0.3587377369403839,3.863110065460205
479,0.5,1.0,-0.158047616481781,0.9972044825553894,0.3405546247959137,3.860560178756714
495,0.6875,1.0,0.03113982453942299,0.884425699710846,0.47335267066955566,3.8599109649658203
511,0.625,1.0,0.0486932173371315,0.9517297744750977,0.5245581269264221,3.8562939167022705
527,0.5,1.0,0.035851385444402695,0.9849418997764587,0.5283223390579224,3.8516244888305664
543,0.5,1.0,0.21768781542778015,0.9997779130935669,0.7175767421722412,3.8519744873046875
559,0.5,1.0,0.0851149708032608,0.9875282049179077,0.5788790583610535,3.8494765758514404
575,0.4375,1.0,0.07057784497737885,1.037760853767395,0.5894582867622375,3.8461551666259766
591,0.6875,1.0,0.0028612797614187002,0.9334534406661987,0.4695880115032196,3.8464038372039795
607,0.4375,1.0,0.1655593365430832,0.940869927406311,0.6359943151473999,3.846710205078125
623,0.75,1.0,0.12379302084445953,0.9874222874641418,0.6175041794776917,3.8463051319122314
639,0.5625,1.0,-0.06579890847206116,0.9581592679023743,0.413280725479126,3.8472344875335693
655,0.5,1.0,-0.2346777617931366,0.950572669506073,0.2406085729598999,3.8448140621185303
671,0.75,1.0,-0.08044134825468063,0.9673876166343689,0.4032524526119232,3.8409998416900635
687,0.625,1.0,-0.010591433383524418,1.0092384815216064,0.4940277934074402,3.8400027751922607
703,0.625,1.0,-0.05949946492910385,0.9958137273788452,0.43840739130973816,3.8372137546539307
719,0.6875,1.0,0.06857580691576004,0.9907330870628357,0.5639423727989197,3.835179328918457
735,0.375,1.0,0.05891939252614975,0.9742851257324219,0.5460619330406189,3.830627202987671
751,0.625,1.0,0.007237186189740896,0.9761106967926025,0.4952925443649292,3.8247182369232178
767,0.6875,1.0,-0.012760638259351254,0.9870730042457581,0.4807758629322052,3.8223376274108887
