round,p1_agent,p2_agent,winner
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p2
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p2
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p2
1,a2c,greedy,p1
1,a2c,greedy,p2
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p2
1,a2c,greedy,p2
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p2
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p2
1,a2c,greedy,p1
1,a2c,greedy,p2
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p1
1,a2c,greedy,p2
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p2
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p2
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p1
2,greedy,a2c,p2
2,greedy,a2c,p2
2,greedy,a2c,p1
2,greedy,a2c,p1
